Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 09:57:54.683,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, -0.087, -0.001, 0.979, -0.366, 29.175, 0,,,,,,, -90.275, -10.212, -13.233, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:54.744,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, -0.114, 0, 0.977, -0.305, 29.724, 0,,,,,,, -90.291, -8.833, -13.195, -24.010, 64.288, -38.220, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:54.789,d2:5a:50:4a:21:12, 2024-09-04 09:57:50.431, -0.986, -0.024, -0.07, 0.244, 61.829, 0,,,,,,, 51.899, 83.09, -40.583, 37.534, 2.744, -8.624, 23.08, 0.70117, 0.15979, 0.67133, -0.17905,
 09:57:54.805,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, -0.137, -0.001, 0.973, -0.305, 29.907, 0,,,,,,, -90.302, -7.432, -13.151, -11.074, 64.582, -41.748, 23.35, 0.98788, -0.01135, -0.09558, -0.12128,
 09:57:54.865,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:49.254, -0.168, -0.003, 0.97, -0.305, 30.579, 0,,,,,,, -90.313, -6.004, -13.118, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:54.879,d2:5a:50:4a:21:12, 2024-09-04 09:57:50.431, -0.972, -0.025, -0.176, 0.305, 61.89, 0,,,,,,, -92.802, 84.688, 173.216, 37.534, 2.744, -8.624, 23.08, 0.70117, 0.15979, 0.67133, -0.17905,
 09:57:54.894,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.198, -0.001, 0.964, -0.366, 31.006, 0,,,,,,, -90.33, -4.548, -13.079, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:54.924,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.226, -0.001, 0.958, -0.305, 30.884, 0,,,,,,, -90.346, -3.076, -13.041, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:54.983,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.251, -0.001, 0.952, -0.305, 31.006, 0,,,,,,, -90.357, -1.609, -13.002, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:54.998,d2:5a:50:4a:21:12, 2024-09-04 09:57:50.431, -0.935, -0.026, -0.289, 0.183, 61.951, 0,,,,,,, -108.468, 78.464, 157.341, 37.534, 2.744, -8.624, 23.08, 0.70117, 0.15979, 0.67133, -0.17905,
 09:57:55.043,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.281, -0.001, 0.946, -0.244, 31.006, 0,,,,,,, -90.368, -0.126, -12.969, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.089,d2:5a:50:4a:21:12, 2024-09-04 09:57:50.431, -0.893, -0.024, -0.391, 0.244, 61.646, 0,,,,,,, -110.874, 72.202, 156.335, 37.534, 2.744, -8.624, 23.08, 0.70117, 0.15979, 0.67133, -0.17905,
 09:57:55.104,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.301, -0.002, 0.937, -0.305, 30.884, 0,,,,,,, -90.379, 1.357, -12.931, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.133,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.334, -0.003, 0.931, -0.244, 30.457, 0,,,,,,, -90.39, 2.829, -12.892, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.164,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.353, -0.002, 0.919, -0.305, 30.396, 0,,,,,,, -90.401, 4.296, -12.859, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.208,d2:5a:50:4a:21:12, 2024-09-04 09:57:50.431, -0.837, -0.026, -0.487, 0.244, 60.974, 0,,,,,,, -111.797, 65.962, 157.928, 37.534, 2.744, -8.624, 23.08, 0.70117, 0.15979, 0.67133, -0.17905,
 09:57:55.253,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.381, -0.002, 0.912, -0.244, 29.846, 0,,,,,,, -90.412, 5.746, -12.827, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.268,d2:5a:50:4a:21:12, 2024-09-04 09:57:50.431, -0.772, -0.025, -0.58, 0.244, 60.547, 0,,,,,,, -112.269, 59.771, 160.571, 37.534, 2.744, -8.624, 23.08, 0.70117, 0.15979, 0.67133, -0.17905,
 09:57:55.283,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.397, -0.003, 0.899, -0.244, 29.48, 0,,,,,,, -90.423, 7.191, -12.805, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.343,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.429, -0.002, 0.892, -0.183, 29.297, 0,,,,,,, -90.434, 8.613, -12.777, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.373,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.443, -0.003, 0.878, -0.244, 28.381, 0,,,,,,, -90.445, 10.02, -12.75, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.388,d2:5a:50:4a:21:12, 2024-09-04 09:57:50.431, -0.699, -0.024, -0.664, 0.244, 60.608, 0,,,,,,, -112.549, 53.613, 163.707, 37.534, 2.744, -8.624, 23.08, 0.70117, 0.15979, 0.67133, -0.17905,
 09:57:55.463,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.472, -0.003, 0.87, -0.244, 28.137, 0,,,,,,, -90.456, 11.398, -12.722, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.478,d2:5a:50:4a:21:12, 2024-09-04 09:57:50.431, -0.606, -0.025, -0.74, 0.183, 60.181, 0,,,,,,, -112.736, 47.505, 167.031, 37.534, 2.744, -8.624, 23.08, 0.70117, 0.15979, 0.67133, -0.17905,
 09:57:55.493,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.49, -0.003, 0.853, -0.183, 27.588, 0,,,,,,, -90.472, 12.761, -12.7, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
 09:57:55.553,ef:e4:2c:bf:73:a9, 2024-09-04 09:57:50.414, -0.51, -0.003, 0.845, -0.183, 27.405, 0,,,,,,, -90.483, 14.106, -12.678, -11.074, 64.582, -41.748, 23.35, 0.99054, 0.0076, 0.07578, -0.11365,
